geneBioID	ProteinBioCynId
FBGN0035969	FBGN0035969-MONOMER
FBGN0039223	FBGN0039223-MONOMER
FBGN0034510	FBGN0034510-MONOMER
FBGN0000639	FBGN0000639-MONOMER
FBGN0039387	FBGN0039387-MONOMER
FBGN0038143	FBGN0038143-MONOMER
FBGN0040777	FBGN0040777-MONOMER
FBGN0028886	FBGN0028886-MONOMER
FBGN0005322	FBGN0005322-MONOMER
FBGN0039902	FBGN0039902-MONOMER
FBGN0031948	FBGN0031948-MONOMER
FBGN0016041	FBGN0016041-MONOMER
FBGN0029950	FBGN0029950-MONOMER
FBGN0053233	FBGN0053233-MONOMER
FBGN0032796	FBGN0032796-MONOMER
FBGN0067318	FBGN0067318-MONOMER
FBGN0034716	FBGN0034716-MONOMER
FBGN0030230	FBGN0030230-MONOMER
FBGN0038799	FBGN0038799-MONOMER
FBGN0037000	FBGN0037000-MONOMER
FBGN0037486	FBGN0037486-MONOMER
FBGN0031170	FBGN0031170-MONOMER
FBGN0058263	FBGN0058263-MONOMER
FBGN0031649	FBGN0031649-MONOMER
FBGN0083956	FBGN0083956-MONOMER
FBGN0027358	FBGN0027358-MONOMER
FBGN0032397	FBGN0032397-MONOMER
FBGN0022982	FBGN0022982-MONOMER
FBGN0029761	FBGN0029761-MONOMER
FBGN0052669	FBGN0052669-MONOMER
FBGN0042177	FBGN0042177-MONOMER
FBGN0051634	FBGN0051634-MONOMER
FBGN0050265	FBGN0050265-MONOMER
FBGN0037710	FBGN0037710-MONOMER
FBGN0028646	FBGN0028646-MONOMER
FBGN0030844	FBGN0030844-MONOMER
FBGN0033737	FBGN0033737-MONOMER
FBGN0030842	FBGN0030842-MONOMER
FBGN0067783	FBGN0067783-MONOMER
FBGN0044510	FBGN0044510-MONOMER
FBGN0037892	FBGN0037892-MONOMER
FBGN0010825	FBGN0010825-MONOMER
FBGN0036765	FBGN0036765-MONOMER
FBGN0020621	FBGN0020621-MONOMER
FBGN0034655	FBGN0034655-MONOMER
FBGN0036927	FBGN0036927-MONOMER
FBGN0015000	FBGN0015000-MONOMER
FBGN0025801	FBGN0025801-MONOMER
FBGN0259174	FBGN0259174-MONOMER
FBGN0085394	FBGN0085394-MONOMER
FBGN0002533	FBGN0002533-MONOMER
FBGN0032061	FBGN0032061-MONOMER
FBGN0051220	FBGN0051220-MONOMER
FBGN0050037	FBGN0050037-MONOMER
FBGN0037120	FBGN0037120-MONOMER
FBGN0024753	FBGN0024753-MONOMER
FBGN0038361	FBGN0038361-MONOMER
FBGN0083981	FBGN0083981-MONOMER
FBGN0015714	FBGN0015714-MONOMER
FBGN0053985	FBGN0053985-MONOMER
FBGN0025458	FBGN0025458-MONOMER
FBGN0032516	FBGN0032516-MONOMER
FBGN0039938	FBGN0039938-MONOMER
FBGN0038163	FBGN0038163-MONOMER
FBGN0053851	FBGN0053851-MONOMER
FBGN0038341	FBGN0038341-MONOMER
FBGN0038279	FBGN0038279-MONOMER
FBGN0001205	FBGN0001205-MONOMER
FBGN0001114	FBGN0001114-MONOMER
FBGN0034540	FBGN0034540-MONOMER
FBGN0000442	FBGN0000442-MONOMER
FBGN0001108	FBGN0001108-MONOMER
FBGN0038203	FBGN0038203-MONOMER
FBGN0033241	FBGN0033241-MONOMER
FBGN0037315	FBGN0037315-MONOMER
FBGN0037671	FBGN0037671-MONOMER
FBGN0017462	FBGN0017462-MONOMER
FBGN0032029	FBGN0032029-MONOMER
FBGN0034735	FBGN0034735-MONOMER
FBGN0031812	FBGN0031812-MONOMER
FBGN0039006	FBGN0039006-MONOMER
FBGN0028872	FBGN0028872-MONOMER
FBGN0038469	FBGN0038469-MONOMER
FBGN0033169	FBGN0033169-MONOMER
FBGN0019948	FBGN0019948-MONOMER
FBGN0020297	FBGN0020297-MONOMER
FBGN0014465	FBGN0014465-MONOMER
FBGN0021814	FBGN0021814-MONOMER
FBGN0022700	FBGN0022700-MONOMER
FBGN0052850	FBGN0052850-MONOMER
FBGN0052064	FBGN0052064-MONOMER
FBGN0023416	FBGN0023416-MONOMER
FBGN0031906	FBGN0031906-MONOMER
FBGN0034903	FBGN0034903-MONOMER
FBGN0053639	FBGN0053639-MONOMER
FBGN0030660	FBGN0030660-MONOMER
FBGN0029826	FBGN0029826-MONOMER
FBGN0013991	FBGN0013991-MONOMER
FBGN0036550	FBGN0036550-MONOMER
FBGN0037749	FBGN0037749-MONOMER
FBGN0038206	FBGN0038206-MONOMER
FBGN0028741	FBGN0028741-MONOMER
FBGN0033050	FBGN0033050-MONOMER
FBGN0259785	FBGN0259785-MONOMER
FBGN0011481	FBGN0011481-MONOMER
FBGN0039827	FBGN0039827-MONOMER
FBGN0002914	FBGN0002914-MONOMER
FBGN0003867	FBGN0003867-MONOMER
FBGN0051624	FBGN0051624-MONOMER
FBGN0039623	FBGN0039623-MONOMER
FBGN0042685	FBGN0042685-MONOMER
FBGN0034938	FBGN0034938-MONOMER
FBGN0032225	FBGN0032225-MONOMER
FBGN0040752	FBGN0040752-MONOMER
FBGN0036338	FBGN0036338-MONOMER
FBGN0036557	FBGN0036557-MONOMER
FBGN0035002	FBGN0035002-MONOMER
FBGN0037843	FBGN0037843-MONOMER
FBGN0002069	FBGN0002069-MONOMER
FBGN0050059	FBGN0050059-MONOMER
FBGN0033504	FBGN0033504-MONOMER
FBGN0034817	FBGN0034817-MONOMER
FBGN0008649	FBGN0008649-MONOMER
FBGN0037222	FBGN0037222-MONOMER
FBGN0035988	FBGN0035988-MONOMER
FBGN0017549	FBGN0017549-MONOMER
FBGN0034096	FBGN0034096-MONOMER
FBGN0015282	FBGN0015282-MONOMER
FBGN0086360	FBGN0086360-MONOMER
FBGN0003013	FBGN0003013-MONOMER
FBGN0051326	FBGN0051326-MONOMER
FBGN0024252	FBGN0024252-MONOMER
FBGN0035414	FBGN0035414-MONOMER
FBGN0033051	FBGN0033051-MONOMER
FBGN0024194	FBGN0024194-MONOMER
FBGN0011509	FBGN0011509-MONOMER
FBGN0026380	FBGN0026380-MONOMER
FBGN0023417	FBGN0023417-MONOMER
FBGN0020224	FBGN0020224-MONOMER
FBGN0032237	FBGN0032237-MONOMER
FBGN0033978	FBGN0033978-MONOMER
FBGN0033089	FBGN0033089-MONOMER
FBGN0052169	FBGN0052169-MONOMER
FBGN0038519	FBGN0038519-MONOMER
FBGN0031467	FBGN0031467-MONOMER
FBGN0037698	FBGN0037698-MONOMER
FBGN0003435	FBGN0003435-MONOMER
FBGN0041337	FBGN0041337-MONOMER
FBGN0051108	FBGN0051108-MONOMER
FBGN0030245	FBGN0030245-MONOMER
FBGN0010223	FBGN0010223-MONOMER
FBGN0037533	FBGN0037533-MONOMER
FBGN0022401	FBGN0022401-MONOMER
FBGN0004875	FBGN0004875-MONOMER
FBGN0250829	FBGN0250829-MONOMER
FBGN0035092	FBGN0035092-MONOMER
FBGN0051342	FBGN0051342-MONOMER
FBGN0042106	FBGN0042106-MONOMER
FBGN0259697	FBGN0259697-MONOMER
FBGN0003475	FBGN0003475-MONOMER
FBGN0000038	FBGN0000038-MONOMER
FBGN0042092	FBGN0042092-MONOMER
FBGN0033112	FBGN0033112-MONOMER
FBGN0036613	FBGN0036613-MONOMER
FBGN0053221	FBGN0053221-MONOMER
FBGN0001137	FBGN0001137-MONOMER
FBGN0031248	FBGN0031248-MONOMER
FBGN0039869	FBGN0039869-MONOMER
FBGN0039411	FBGN0039411-MONOMER
FBGN0031995	FBGN0031995-MONOMER
FBGN0022201	FBGN0022201-MONOMER
FBGN0000079	FBGN0000079-MONOMER
FBGN0033358	FBGN0033358-MONOMER
FBGN0024352	FBGN0024352-MONOMER
FBGN0037166	FBGN0037166-MONOMER
FBGN0051304	FBGN0051304-MONOMER
FBGN0036977	FBGN0036977-MONOMER
FBGN0051956	FBGN0051956-MONOMER
FBGN0038953	FBGN0038953-MONOMER
FBGN0038723	FBGN0038723-MONOMER
FBGN0000253	FBGN0000253-MONOMER
FBGN0086902	FBGN0086902-MONOMER
FBGN0028734	FBGN0028734-MONOMER
FBGN0031693	FBGN0031693-MONOMER
FBGN0002622	FBGN0002622-MONOMER
FBGN0037022	FBGN0037022-MONOMER
FBGN0086364	FBGN0086364-MONOMER
FBGN0026080	FBGN0026080-MONOMER
FBGN0035895	FBGN0035895-MONOMER
FBGN0250815	FBGN0250815-MONOMER
FBGN0039403	FBGN0039403-MONOMER
FBGN0036173	FBGN0036173-MONOMER
FBGN0039108	FBGN0039108-MONOMER
FBGN0036184	FBGN0036184-MONOMER
FBGN0034476	FBGN0034476-MONOMER
FBGN0035917	FBGN0035917-MONOMER
FBGN0044328	FBGN0044328-MONOMER
FBGN0022724	FBGN0022724-MONOMER
FBGN0002873	FBGN0002873-MONOMER
FBGN0029693	FBGN0029693-MONOMER
FBGN0029843	FBGN0029843-MONOMER
FBGN0259481	FBGN0259481-MONOMER
FBGN0032511	FBGN0032511-MONOMER
FBGN0032430	FBGN0032430-MONOMER
FBGN0250843	FBGN0250843-MONOMER
FBGN0026262	FBGN0026262-MONOMER
FBGN0033404	FBGN0033404-MONOMER
FBGN0013276	FBGN0013276-MONOMER
FBGN0011241	FBGN0011241-MONOMER
FBGN0032956	FBGN0032956-MONOMER
FBGN0027348	FBGN0027348-MONOMER
FBGN0002552	FBGN0002552-MONOMER
FBGN0027084	FBGN0027084-MONOMER
FBGN0015602	FBGN0015602-MONOMER
FBGN0038878	FBGN0038878-MONOMER
FBGN0031975	FBGN0031975-MONOMER
FBGN0023545	FBGN0023545-MONOMER
FBGN0029153	FBGN0029153-MONOMER
FBGN0028569	FBGN0028569-MONOMER
FBGN0000541	FBGN0000541-MONOMER
FBGN0003076	FBGN0003076-MONOMER
FBGN0025814	FBGN0025814-MONOMER
FBGN0013948	FBGN0013948-MONOMER
FBGN0039937	FBGN0039937-MONOMER
FBGN0030589	FBGN0030589-MONOMER
FBGN0038250	FBGN0038250-MONOMER
FBGN0040505	FBGN0040505-MONOMER
FBGN0020040	FBGN0020040-MONOMER
FBGN0039780	FBGN0039780-MONOMER
FBGN0036629	FBGN0036629-MONOMER
FBGN0032156	FBGN0032156-MONOMER
FBGN0025105	FBGN0025105-MONOMER
FBGN0036742	FBGN0036742-MONOMER
FBGN0050431	FBGN0050431-MONOMER
FBGN0044820	FBGN0044820-MONOMER
FBGN0004492	FBGN0004492-MONOMER
FBGN0033320	FBGN0033320-MONOMER
FBGN0050495	FBGN0050495-MONOMER
FBGN0031684	FBGN0031684-MONOMER
FBGN0023441	FBGN0023441-MONOMER
FBGN0034842	FBGN0034842-MONOMER
FBGN0036640	FBGN0036640-MONOMER
FBGN0037076	FBGN0037076-MONOMER
FBGN0039739	FBGN0039739-MONOMER
FBGN0021872	FBGN0021872-MONOMER
FBGN0000723	FBGN0000723-MONOMER
FBGN0004380	FBGN0004380-MONOMER
FBGN0010786	FBGN0010786-MONOMER
FBGN0024326	FBGN0024326-MONOMER
FBGN0031969	FBGN0031969-MONOMER
FBGN0015374	FBGN0015374-MONOMER
FBGN0000097	FBGN0000097-MONOMER
FBGN0083077	FBGN0083077-MONOMER
FBGN0014414	FBGN0014414-MONOMER
FBGN0029899	FBGN0029899-MONOMER
FBGN0051111	FBGN0051111-MONOMER
FBGN0014413	FBGN0014413-MONOMER
FBGN0034962	FBGN0034962-MONOMER
FBGN0044047	FBGN0044047-MONOMER
FBGN0051704	FBGN0051704-MONOMER
FBGN0022720	FBGN0022720-MONOMER
FBGN0000173	FBGN0000173-MONOMER
FBGN0038017	FBGN0038017-MONOMER
FBGN0025352	FBGN0025352-MONOMER
FBGN0038516	FBGN0038516-MONOMER
FBGN0025621	FBGN0025621-MONOMER
FBGN0015776	FBGN0015776-MONOMER
FBGN0038424	FBGN0038424-MONOMER
FBGN0050378	FBGN0050378-MONOMER
FBGN0023507	FBGN0023507-MONOMER
FBGN0039977	FBGN0039977-MONOMER
FBGN0036959	FBGN0036959-MONOMER
FBGN0028433	FBGN0028433-MONOMER
FBGN0038951	FBGN0038951-MONOMER
FBGN0005675	FBGN0005675-MONOMER
FBGN0030680	FBGN0030680-MONOMER
FBGN0051199	FBGN0051199-MONOMER
FBGN0037701	FBGN0037701-MONOMER
FBGN0002566	FBGN0002566-MONOMER
FBGN0005619	FBGN0005619-MONOMER
FBGN0041239	FBGN0041239-MONOMER
FBGN0033352	FBGN0033352-MONOMER
FBGN0004173	FBGN0004173-MONOMER
FBGN0036929	FBGN0036929-MONOMER
FBGN0011289	FBGN0011289-MONOMER
FBGN0010229	FBGN0010229-MONOMER
FBGN0053171	FBGN0053171-MONOMER
FBGN0037498	FBGN0037498-MONOMER
FBGN0069342	FBGN0069342-MONOMER
FBGN0028789	FBGN0028789-MONOMER
FBGN0025742	FBGN0025742-MONOMER
FBGN0011821	FBGN0011821-MONOMER
FBGN0035455	FBGN0035455-MONOMER
FBGN0013759	FBGN0013759-MONOMER
FBGN0030766	FBGN0030766-MONOMER
FBGN0000577	FBGN0000577-MONOMER
FBGN0051274	FBGN0051274-MONOMER
FBGN0033875	FBGN0033875-MONOMER
FBGN0010403	FBGN0010403-MONOMER
FBGN0053198	FBGN0053198-MONOMER
FBGN0027497	FBGN0027497-MONOMER
FBGN0038925	FBGN0038925-MONOMER
FBGN0046711	FBGN0046711-MONOMER
FBGN0041216	FBGN0041216-MONOMER
FBGN0020640	FBGN0020640-MONOMER
FBGN0000273	FBGN0000273-MONOMER
FBGN0039713	FBGN0039713-MONOMER
FBGN0020910	FBGN0020910-MONOMER
FBGN0004834	FBGN0004834-MONOMER
FBGN0020254	FBGN0020254-MONOMER
FBGN0004587	FBGN0004587-MONOMER
FBGN0039378	FBGN0039378-MONOMER
FBGN0036405	FBGN0036405-MONOMER
FBGN0035438	FBGN0035438-MONOMER
FBGN0053554	FBGN0053554-MONOMER
FBGN0027081	FBGN0027081-MONOMER
FBGN0027930	FBGN0027930-MONOMER
FBGN0026756	FBGN0026756-MONOMER
FBGN0037356	FBGN0037356-MONOMER
FBGN0035279	FBGN0035279-MONOMER
FBGN0027793	FBGN0027793-MONOMER
FBGN0040368	FBGN0040368-MONOMER
FBGN0063924	FBGN0063924-MONOMER
FBGN0034277	FBGN0034277-MONOMER
FBGN0033562	FBGN0033562-MONOMER
FBGN0037845	FBGN0037845-MONOMER
FBGN0015816	FBGN0015816-MONOMER
FBGN0004841	FBGN0004841-MONOMER
FBGN0033182	FBGN0033182-MONOMER
FBGN0016664	FBGN0016664-MONOMER
FBGN0259246	FBGN0259246-MONOMER
FBGN0028707	FBGN0028707-MONOMER
FBGN0030687	FBGN0030687-MONOMER
FBGN0035044	FBGN0035044-MONOMER
FBGN0031910	FBGN0031910-MONOMER
FBGN0002869	FBGN0002869-MONOMER
FBGN0039272	FBGN0039272-MONOMER
FBGN0051612	FBGN0051612-MONOMER
FBGN0002284	FBGN0002284-MONOMER
FBGN0025463	FBGN0025463-MONOMER
FBGN0050104	FBGN0050104-MONOMER
FBGN0003276	FBGN0003276-MONOMER
FBGN0010333	FBGN0010333-MONOMER
FBGN0001172	FBGN0001172-MONOMER
FBGN0030930	FBGN0030930-MONOMER
FBGN0011290	FBGN0011290-MONOMER
FBGN0052105	FBGN0052105-MONOMER
FBGN0015269	FBGN0015269-MONOMER
FBGN0014031	FBGN0014031-MONOMER
FBGN0040236	FBGN0040236-MONOMER
FBGN0053810	FBGN0053810-MONOMER
FBGN0061207	FBGN0061207-MONOMER
FBGN0063915	FBGN0063915-MONOMER
FBGN0052671	FBGN0052671-MONOMER
FBGN0036706	FBGN0036706-MONOMER
FBGN0038952	FBGN0038952-MONOMER
FBGN0038492	FBGN0038492-MONOMER
FBGN0033027	FBGN0033027-MONOMER
FBGN0051973	FBGN0051973-MONOMER
FBGN0035790	FBGN0035790-MONOMER
FBGN0004554	FBGN0004554-MONOMER
FBGN0038927	FBGN0038927-MONOMER
FBGN0026576	FBGN0026576-MONOMER
FBGN0037251	FBGN0037251-MONOMER
FBGN0002573	FBGN0002573-MONOMER
FBGN0024314	FBGN0024314-MONOMER
FBGN0035021	FBGN0035021-MONOMER
FBGN0004174	FBGN0004174-MONOMER
FBGN0028473	FBGN0028473-MONOMER
FBGN0011300	FBGN0011300-MONOMER
FBGN0025117	FBGN0025117-MONOMER
FBGN0042125	FBGN0042125-MONOMER
FBGN0001149	FBGN0001149-MONOMER
FBGN0037554	FBGN0037554-MONOMER
FBGN0032206	FBGN0032206-MONOMER
FBGN0032125	FBGN0032125-MONOMER
FBGN0022160	FBGN0022160-MONOMER
FBGN0035217	FBGN0035217-MONOMER
FBGN0035412	FBGN0035412-MONOMER
FBGN0046708	FBGN0046708-MONOMER
FBGN0046699	FBGN0046699-MONOMER
FBGN0001091	FBGN0001091-MONOMER
FBGN0052700	FBGN0052700-MONOMER
FBGN0031497	FBGN0031497-MONOMER
FBGN0030956	FBGN0030956-MONOMER
FBGN0003751	FBGN0003751-MONOMER
FBGN0250847	FBGN0250847-MONOMER
FBGN0036538	FBGN0036538-MONOMER
FBGN0029993	FBGN0029993-MONOMER
FBGN0038551	FBGN0038551-MONOMER
FBGN0010416	FBGN0010416-MONOMER
FBGN0001942	FBGN0001942-MONOMER
FBGN0015368	FBGN0015368-MONOMER
FBGN0041624	FBGN0041624-MONOMER
FBGN0020376	FBGN0020376-MONOMER
FBGN0031791	FBGN0031791-MONOMER
FBGN0050184	FBGN0050184-MONOMER
FBGN0032222	FBGN0032222-MONOMER
FBGN0039551	FBGN0039551-MONOMER
FBGN0001297	FBGN0001297-MONOMER
FBGN0039396	FBGN0039396-MONOMER
FBGN0046692	FBGN0046692-MONOMER
FBGN0036986	FBGN0036986-MONOMER
FBGN0004050	FBGN0004050-MONOMER
FBGN0051741	FBGN0051741-MONOMER
FBGN0041789	FBGN0041789-MONOMER
FBGN0027587	FBGN0027587-MONOMER
FBGN0004882	FBGN0004882-MONOMER
FBGN0082598	FBGN0082598-MONOMER
FBGN0024983	FBGN0024983-MONOMER
FBGN0033041	FBGN0033041-MONOMER
FBGN0035729	FBGN0035729-MONOMER
FBGN0029504	FBGN0029504-MONOMER
FBGN0016699	FBGN0016699-MONOMER
FBGN0036548	FBGN0036548-MONOMER
FBGN0036314	FBGN0036314-MONOMER
FBGN0011591	FBGN0011591-MONOMER
FBGN0036085	FBGN0036085-MONOMER
FBGN0037898	FBGN0037898-MONOMER
FBGN0034155	FBGN0034155-MONOMER
FBGN0020517	FBGN0020517-MONOMER
FBGN0250850	FBGN0250850-MONOMER
FBGN0010426	FBGN0010426-MONOMER
FBGN0032947	FBGN0032947-MONOMER
FBGN0015793	FBGN0015793-MONOMER
FBGN0052006	FBGN0052006-MONOMER
FBGN0028917	FBGN0028917-MONOMER
FBGN0036581	FBGN0036581-MONOMER
FBGN0038693	FBGN0038693-MONOMER
FBGN0008635	FBGN0008635-MONOMER
FBGN0003002	FBGN0003002-MONOMER
FBGN0030615	FBGN0030615-MONOMER
FBGN0051013	FBGN0051013-MONOMER
FBGN0038125	FBGN0038125-MONOMER
FBGN0039754	FBGN0039754-MONOMER
FBGN0029006	FBGN0029006-MONOMER
FBGN0042146	FBGN0042146-MONOMER
FBGN0033739	FBGN0033739-MONOMER
FBGN0030479	FBGN0030479-MONOMER
FBGN0022400	FBGN0022400-MONOMER
FBGN0038446	FBGN0038446-MONOMER
FBGN0026760	FBGN0026760-MONOMER
FBGN0014870	FBGN0014870-MONOMER
FBGN0031690	FBGN0031690-MONOMER
FBGN0039630	FBGN0039630-MONOMER
FBGN0037746	FBGN0037746-MONOMER
FBGN0032381	FBGN0032381-MONOMER
FBGN0053850	FBGN0053850-MONOMER
FBGN0014023	FBGN0014023-MONOMER
FBGN0038661	FBGN0038661-MONOMER
FBGN0086130	FBGN0086130-MONOMER
FBGN0034470	FBGN0034470-MONOMER
FBGN0069341	FBGN0069341-MONOMER
FBGN0038886	FBGN0038886-MONOMER
FBGN0040466	FBGN0040466-MONOMER
FBGN0010336	FBGN0010336-MONOMER
FBGN0051015	FBGN0051015-MONOMER
FBGN0034802	FBGN0034802-MONOMER
FBGN0002626	FBGN0002626-MONOMER
FBGN0039684	FBGN0039684-MONOMER
FBGN0002926	FBGN0002926-MONOMER
FBGN0031894	FBGN0031894-MONOMER
FBGN0037501	FBGN0037501-MONOMER
FBGN0036661	FBGN0036661-MONOMER
FBGN0000053	FBGN0000053-MONOMER
FBGN0053969	FBGN0053969-MONOMER
FBGN0033252	FBGN0033252-MONOMER
FBGN0031474	FBGN0031474-MONOMER
FBGN0040255	FBGN0040255-MONOMER
FBGN0051169	FBGN0051169-MONOMER
FBGN0034727	FBGN0034727-MONOMER
FBGN0034605	FBGN0034605-MONOMER
FBGN0000257	FBGN0000257-MONOMER
FBGN0000316	FBGN0000316-MONOMER
FBGN0051678	FBGN0051678-MONOMER
FBGN0004781	FBGN0004781-MONOMER
FBGN0023170	FBGN0023170-MONOMER
FBGN0032683	FBGN0032683-MONOMER
FBGN0021767	FBGN0021767-MONOMER
FBGN0000551	FBGN0000551-MONOMER
FBGN0038507	FBGN0038507-MONOMER
FBGN0036096	FBGN0036096-MONOMER
FBGN0011699	FBGN0011699-MONOMER
FBGN0004087	FBGN0004087-MONOMER
FBGN0033393	FBGN0033393-MONOMER
FBGN0022786	FBGN0022786-MONOMER
FBGN0038981	FBGN0038981-MONOMER
FBGN0032744	FBGN0032744-MONOMER
FBGN0037933	FBGN0037933-MONOMER
FBGN0023214	FBGN0023214-MONOMER
FBGN0044050	FBGN0044050-MONOMER
FBGN0043784	FBGN0043784-MONOMER
FBGN0034602	FBGN0034602-MONOMER
FBGN0021738	FBGN0021738-MONOMER
FBGN0050091	FBGN0050091-MONOMER
FBGN0038453	FBGN0038453-MONOMER
FBGN0034318	FBGN0034318-MONOMER
FBGN0020642	FBGN0020642-MONOMER
FBGN0026389	FBGN0026389-MONOMER
FBGN0024328	FBGN0024328-MONOMER
FBGN0014998	FBGN0014998-MONOMER
FBGN0003267	FBGN0003267-MONOMER
FBGN0031925	FBGN0031925-MONOMER
FBGN0037354	FBGN0037354-MONOMER
FBGN0015789	FBGN0015789-MONOMER
FBGN0015296	FBGN0015296-MONOMER
FBGN0011706	FBGN0011706-MONOMER
FBGN0025632	FBGN0025632-MONOMER
FBGN0053159	FBGN0053159-MONOMER
FBGN0039354	FBGN0039354-MONOMER
FBGN0032870	FBGN0032870-MONOMER
FBGN0028360	FBGN0028360-MONOMER
FBGN0004428	FBGN0004428-MONOMER
FBGN0040208	FBGN0040208-MONOMER
FBGN0036142	FBGN0036142-MONOMER
FBGN0000808	FBGN0000808-MONOMER
FBGN0053839	FBGN0053839-MONOMER
FBGN0039544	FBGN0039544-MONOMER
FBGN0042175	FBGN0042175-MONOMER
FBGN0064126	FBGN0064126-MONOMER
FBGN0010350	FBGN0010350-MONOMER
FBGN0032253	FBGN0032253-MONOMER
FBGN0085393	FBGN0085393-MONOMER
FBGN0033688	FBGN0033688-MONOMER
FBGN0039712	FBGN0039712-MONOMER
FBGN0003022	FBGN0003022-MONOMER
FBGN0035997	FBGN0035997-MONOMER
FBGN0028374	FBGN0028374-MONOMER
FBGN0050379	FBGN0050379-MONOMER
FBGN0034261	FBGN0034261-MONOMER
FBGN0051924	FBGN0051924-MONOMER
FBGN0035065	FBGN0035065-MONOMER
FBGN0027841	FBGN0027841-MONOMER
FBGN0040369	FBGN0040369-MONOMER
FBGN0043842	FBGN0043842-MONOMER
FBGN0033573	FBGN0033573-MONOMER
FBGN0038095	FBGN0038095-MONOMER
FBGN0039366	FBGN0039366-MONOMER
FBGN0053080	FBGN0053080-MONOMER
FBGN0051441	FBGN0051441-MONOMER
FBGN0017611	FBGN0017611-MONOMER
FBGN0038636	FBGN0038636-MONOMER
FBGN0028970	FBGN0028970-MONOMER
FBGN0038344	FBGN0038344-MONOMER
FBGN0038089	FBGN0038089-MONOMER
FBGN0037330	FBGN0037330-MONOMER
FBGN0043856	FBGN0043856-MONOMER
FBGN0086708	FBGN0086708-MONOMER
FBGN0038281	FBGN0038281-MONOMER
FBGN0039004	FBGN0039004-MONOMER
FBGN0003499	FBGN0003499-MONOMER
FBGN0034180	FBGN0034180-MONOMER
FBGN0028531	FBGN0028531-MONOMER
FBGN0016668	FBGN0016668-MONOMER
FBGN0031321	FBGN0031321-MONOMER
FBGN0030099	FBGN0030099-MONOMER
FBGN0002775	FBGN0002775-MONOMER
FBGN0034970	FBGN0034970-MONOMER
FBGN0052029	FBGN0052029-MONOMER
FBGN0037964	FBGN0037964-MONOMER
FBGN0004649	FBGN0004649-MONOMER
FBGN0031081	FBGN0031081-MONOMER
FBGN0039756	FBGN0039756-MONOMER
FBGN0039595	FBGN0039595-MONOMER
FBGN0051515	FBGN0051515-MONOMER
FBGN0259820	FBGN0259820-MONOMER
FBGN0010215	FBGN0010215-MONOMER
FBGN0015932	FBGN0015932-MONOMER
FBGN0028426	FBGN0028426-MONOMER
FBGN0033235	FBGN0033235-MONOMER
FBGN0037620	FBGN0037620-MONOMER
FBGN0000063	FBGN0000063-MONOMER
FBGN0020887	FBGN0020887-MONOMER
FBGN0053174	FBGN0053174-MONOMER
FBGN0032395	FBGN0032395-MONOMER
FBGN0020018	FBGN0020018-MONOMER
FBGN0050100	FBGN0050100-MONOMER
FBGN0013998	FBGN0013998-MONOMER
FBGN0031157	FBGN0031157-MONOMER
FBGN0014930	FBGN0014930-MONOMER
FBGN0005634	FBGN0005634-MONOMER
FBGN0024968	FBGN0024968-MONOMER
FBGN0030532	FBGN0030532-MONOMER
FBGN0039849	FBGN0039849-MONOMER
FBGN0043867	FBGN0043867-MONOMER
FBGN0034075	FBGN0034075-MONOMER
FBGN0024285	FBGN0024285-MONOMER
FBGN0002542	FBGN0002542-MONOMER
FBGN0038435	FBGN0038435-MONOMER
FBGN0036227	FBGN0036227-MONOMER
FBGN0033926	FBGN0033926-MONOMER
FBGN0033038	FBGN0033038-MONOMER
FBGN0051759	FBGN0051759-MONOMER
FBGN0050491	FBGN0050491-MONOMER
FBGN0041231	FBGN0041231-MONOMER
FBGN0259216	FBGN0259216-MONOMER
FBGN0032338	FBGN0032338-MONOMER
FBGN0053557	FBGN0053557-MONOMER
FBGN0011270	FBGN0011270-MONOMER
FBGN0003067	FBGN0003067-MONOMER
FBGN0086901	FBGN0086901-MONOMER
FBGN0010282	FBGN0010282-MONOMER
FBGN0001316	FBGN0001316-MONOMER
FBGN0032978	FBGN0032978-MONOMER
FBGN0025803	FBGN0025803-MONOMER
FBGN0001122	FBGN0001122-MONOMER
FBGN0032482	FBGN0032482-MONOMER
FBGN0036357	FBGN0036357-MONOMER
FBGN0024505	FBGN0024505-MONOMER
FBGN0010240	FBGN0010240-MONOMER
FBGN0032387	FBGN0032387-MONOMER
FBGN0040211	FBGN0040211-MONOMER
FBGN0003140	FBGN0003140-MONOMER
FBGN0019638	FBGN0019638-MONOMER
FBGN0010424	FBGN0010424-MONOMER
FBGN0051475	FBGN0051475-MONOMER
FBGN0035398	FBGN0035398-MONOMER
FBGN0036361	FBGN0036361-MONOMER
FBGN0032525	FBGN0032525-MONOMER
FBGN0250791	FBGN0250791-MONOMER
FBGN0017566	FBGN0017566-MONOMER
FBGN0033963	FBGN0033963-MONOMER
FBGN0010339	FBGN0010339-MONOMER
FBGN0013972	FBGN0013972-MONOMER
FBGN0004406	FBGN0004406-MONOMER
FBGN0004908	FBGN0004908-MONOMER
FBGN0032670	FBGN0032670-MONOMER
FBGN0051017	FBGN0051017-MONOMER
FBGN0034106	FBGN0034106-MONOMER
FBGN0030425	FBGN0030425-MONOMER
FBGN0032006	FBGN0032006-MONOMER
FBGN0037384	FBGN0037384-MONOMER
FBGN0013272	FBGN0013272-MONOMER
FBGN0031018	FBGN0031018-MONOMER
FBGN0039122	FBGN0039122-MONOMER
