geneBioID	ProteinBioCynId
FBGN0050472	FBGN0050472-MONOMER
FBGN0040862	FBGN0040862-MONOMER
FBGN0011239	FBGN0011239-MONOMER
FBGN0034289	FBGN0034289-MONOMER
FBGN0051438	FBGN0051438-MONOMER
FBGN0053324	FBGN0053324-MONOMER
FBGN0035360	FBGN0035360-MONOMER
FBGN0085670	FBGN0085670-MONOMER
FBGN0020303	FBGN0020303-MONOMER
FBGN0036958	FBGN0036958-MONOMER
FBGN0033168	FBGN0033168-MONOMER
FBGN0053472	FBGN0053472-MONOMER
FBGN0259832	FBGN0259832-MONOMER
FBGN0022070	FBGN0022070-MONOMER
FBGN0250826	FBGN0250826-MONOMER
FBGN0051344	FBGN0051344-MONOMER
FBGN0033499	FBGN0033499-MONOMER
FBGN0085294	FBGN0085294-MONOMER
FBGN0025387	FBGN0025387-MONOMER
FBGN0040764	FBGN0040764-MONOMER
FBGN0033348	FBGN0033348-MONOMER
FBGN0033446	FBGN0033446-MONOMER
FBGN0052569	FBGN0052569-MONOMER
FBGN0085539	FBGN0085539-MONOMER
FBGN0033885	FBGN0033885-MONOMER
FBGN0250840	FBGN0250840-MONOMER
FBGN0053306	FBGN0053306-MONOMER
FBGN0035675	FBGN0035675-MONOMER
FBGN0053795	FBGN0053795-MONOMER
FBGN0259730	FBGN0259730-MONOMER
FBGN0036860	FBGN0036860-MONOMER
FBGN0041094	FBGN0041094-MONOMER
FBGN0034820	FBGN0034820-MONOMER
FBGN0030459	FBGN0030459-MONOMER
FBGN0259188	FBGN0259188-MONOMER
FBGN0259821	FBGN0259821-MONOMER
FBGN0033741	FBGN0033741-MONOMER
FBGN0033133	FBGN0033133-MONOMER
FBGN0034477	FBGN0034477-MONOMER
FBGN0028396	FBGN0028396-MONOMER
FBGN0085225	FBGN0085225-MONOMER
FBGN0034942	FBGN0034942-MONOMER
FBGN0034084	FBGN0034084-MONOMER
FBGN0013548	FBGN0013548-MONOMER
FBGN0046294	FBGN0046294-MONOMER
FBGN0032299	FBGN0032299-MONOMER
FBGN0085342	FBGN0085342-MONOMER
FBGN0026326	FBGN0026326-MONOMER
FBGN0011694	FBGN0011694-MONOMER
FBGN0033668	FBGN0033668-MONOMER
FBGN0053470	FBGN0053470-MONOMER
FBGN0030960	FBGN0030960-MONOMER
FBGN0036861	FBGN0036861-MONOMER
FBGN0036710	FBGN0036710-MONOMER
FBGN0037872	FBGN0037872-MONOMER
FBGN0034907	FBGN0034907-MONOMER
FBGN0037773	FBGN0037773-MONOMER
FBGN0032084	FBGN0032084-MONOMER
FBGN0039681	FBGN0039681-MONOMER
FBGN0020272	FBGN0020272-MONOMER
FBGN0052945	FBGN0052945-MONOMER
FBGN0034032	FBGN0034032-MONOMER
FBGN0028836	FBGN0028836-MONOMER
FBGN0030193	FBGN0030193-MONOMER
FBGN0032481	FBGN0032481-MONOMER
FBGN0040367	FBGN0040367-MONOMER
FBGN0034671	FBGN0034671-MONOMER
FBGN0085241	FBGN0085241-MONOMER
FBGN0039565	FBGN0039565-MONOMER
FBGN0085621	FBGN0085621-MONOMER
FBGN0031245	FBGN0031245-MONOMER
FBGN0036031	FBGN0036031-MONOMER
FBGN0036107	FBGN0036107-MONOMER
FBGN0032878	FBGN0032878-MONOMER
FBGN0038343	FBGN0038343-MONOMER
FBGN0040929	FBGN0040929-MONOMER
FBGN0040375	FBGN0040375-MONOMER
FBGN0010704	FBGN0010704-MONOMER
FBGN0051710	FBGN0051710-MONOMER
FBGN0042129	FBGN0042129-MONOMER
FBGN0036419	FBGN0036419-MONOMER
FBGN0085366	FBGN0085366-MONOMER
FBGN0037133	FBGN0037133-MONOMER
FBGN0040730	FBGN0040730-MONOMER
FBGN0051410	FBGN0051410-MONOMER
FBGN0038110	FBGN0038110-MONOMER
FBGN0085233	FBGN0085233-MONOMER
FBGN0039636	FBGN0039636-MONOMER
FBGN0085715	FBGN0085715-MONOMER
FBGN0040551	FBGN0040551-MONOMER
FBGN0069966	FBGN0069966-MONOMER
FBGN0050416	FBGN0050416-MONOMER
FBGN0034948	FBGN0034948-MONOMER
FBGN0058164	FBGN0058164-MONOMER
FBGN0040554	FBGN0040554-MONOMER
FBGN0031821	FBGN0031821-MONOMER
FBGN0051702	FBGN0051702-MONOMER
FBGN0086251	FBGN0086251-MONOMER
FBGN0035598	FBGN0035598-MONOMER
FBGN0019960	FBGN0019960-MONOMER
FBGN0042189	FBGN0042189-MONOMER
FBGN0033045	FBGN0033045-MONOMER
FBGN0085533	FBGN0085533-MONOMER
FBGN0035299	FBGN0035299-MONOMER
FBGN0033985	FBGN0033985-MONOMER
FBGN0038246	FBGN0038246-MONOMER
FBGN0030700	FBGN0030700-MONOMER
FBGN0052280	FBGN0052280-MONOMER
FBGN0030351	FBGN0030351-MONOMER
FBGN0053920	FBGN0053920-MONOMER
FBGN0034626	FBGN0034626-MONOMER
FBGN0031895	FBGN0031895-MONOMER
FBGN0014464	FBGN0014464-MONOMER
FBGN0040585	FBGN0040585-MONOMER
FBGN0030998	FBGN0030998-MONOMER
FBGN0040827	FBGN0040827-MONOMER
FBGN0050071	FBGN0050071-MONOMER
FBGN0085231	FBGN0085231-MONOMER
FBGN0036850	FBGN0036850-MONOMER
FBGN0038694	FBGN0038694-MONOMER
FBGN0035179	FBGN0035179-MONOMER
FBGN0033122	FBGN0033122-MONOMER
FBGN0039521	FBGN0039521-MONOMER
FBGN0033937	FBGN0033937-MONOMER
FBGN0033374	FBGN0033374-MONOMER
FBGN0036536	FBGN0036536-MONOMER
FBGN0259112	FBGN0259112-MONOMER
FBGN0050007	FBGN0050007-MONOMER
FBGN0053752	FBGN0053752-MONOMER
FBGN0052982	FBGN0052982-MONOMER
FBGN0250874	FBGN0250874-MONOMER
FBGN0052773	FBGN0052773-MONOMER
FBGN0039298	FBGN0039298-MONOMER
FBGN0051347	FBGN0051347-MONOMER
FBGN0030744	FBGN0030744-MONOMER
FBGN0030234	FBGN0030234-MONOMER
FBGN0035965	FBGN0035965-MONOMER
FBGN0030474	FBGN0030474-MONOMER
FBGN0038647	FBGN0038647-MONOMER
FBGN0001256	FBGN0001256-MONOMER
FBGN0025613	FBGN0025613-MONOMER
FBGN0053978	FBGN0053978-MONOMER
FBGN0038545	FBGN0038545-MONOMER
FBGN0037654	FBGN0037654-MONOMER
FBGN0259677	FBGN0259677-MONOMER
FBGN0030241	FBGN0030241-MONOMER
FBGN0033448	FBGN0033448-MONOMER
FBGN0034363	FBGN0034363-MONOMER
FBGN0037422	FBGN0037422-MONOMER
FBGN0036093	FBGN0036093-MONOMER
FBGN0036438	FBGN0036438-MONOMER
FBGN0014368	FBGN0014368-MONOMER
FBGN0036964	FBGN0036964-MONOMER
FBGN0040942	FBGN0040942-MONOMER
FBGN0016061	FBGN0016061-MONOMER
FBGN0031413	FBGN0031413-MONOMER
FBGN0033623	FBGN0033623-MONOMER
FBGN0035551	FBGN0035551-MONOMER
FBGN0028482	FBGN0028482-MONOMER
FBGN0016036	FBGN0016036-MONOMER
FBGN0036146	FBGN0036146-MONOMER
FBGN0039311	FBGN0039311-MONOMER
FBGN0259682	FBGN0259682-MONOMER
FBGN0016762	FBGN0016762-MONOMER
FBGN0031270	FBGN0031270-MONOMER
FBGN0085502	FBGN0085502-MONOMER
FBGN0052213	FBGN0052213-MONOMER
FBGN0038147	FBGN0038147-MONOMER
FBGN0034708	FBGN0034708-MONOMER
FBGN0051415	FBGN0051415-MONOMER
FBGN0067340	FBGN0067340-MONOMER
FBGN0021800	FBGN0021800-MONOMER
FBGN0036988	FBGN0036988-MONOMER
FBGN0020279	FBGN0020279-MONOMER
FBGN0028537	FBGN0028537-MONOMER
FBGN0083969	FBGN0083969-MONOMER
FBGN0029968	FBGN0029968-MONOMER
FBGN0037008	FBGN0037008-MONOMER
FBGN0085499	FBGN0085499-MONOMER
FBGN0050222	FBGN0050222-MONOMER
FBGN0037616	FBGN0037616-MONOMER
FBGN0054047	FBGN0054047-MONOMER
FBGN0027521	FBGN0027521-MONOMER
FBGN0085486	FBGN0085486-MONOMER
FBGN0039135	FBGN0039135-MONOMER
FBGN0052813	FBGN0052813-MONOMER
FBGN0038248	FBGN0038248-MONOMER
FBGN0052983	FBGN0052983-MONOMER
FBGN0033426	FBGN0033426-MONOMER
FBGN0030174	FBGN0030174-MONOMER
FBGN0026874	FBGN0026874-MONOMER
FBGN0030540	FBGN0030540-MONOMER
FBGN0038190	FBGN0038190-MONOMER
FBGN0039120	FBGN0039120-MONOMER
FBGN0050285	FBGN0050285-MONOMER
FBGN0028939	FBGN0028939-MONOMER
FBGN0034165	FBGN0034165-MONOMER
FBGN0033590	FBGN0033590-MONOMER
FBGN0033375	FBGN0033375-MONOMER
FBGN0036610	FBGN0036610-MONOMER
FBGN0259731	FBGN0259731-MONOMER
FBGN0050459	FBGN0050459-MONOMER
FBGN0038146	FBGN0038146-MONOMER
FBGN0030373	FBGN0030373-MONOMER
FBGN0033261	FBGN0033261-MONOMER
FBGN0010473	FBGN0010473-MONOMER
FBGN0030723	FBGN0030723-MONOMER
FBGN0036072	FBGN0036072-MONOMER
FBGN0024364	FBGN0024364-MONOMER
FBGN0061492	FBGN0061492-MONOMER
FBGN0031159	FBGN0031159-MONOMER
FBGN0035825	FBGN0035825-MONOMER
FBGN0037174	FBGN0037174-MONOMER
FBGN0016034	FBGN0016034-MONOMER
FBGN0039192	FBGN0039192-MONOMER
FBGN0036578	FBGN0036578-MONOMER
FBGN0030813	FBGN0030813-MONOMER
FBGN0058311	FBGN0058311-MONOMER
FBGN0028470	FBGN0028470-MONOMER
FBGN0039802	FBGN0039802-MONOMER
FBGN0037832	FBGN0037832-MONOMER
FBGN0030846	FBGN0030846-MONOMER
FBGN0085545	FBGN0085545-MONOMER
FBGN0053642	FBGN0053642-MONOMER
FBGN0085645	FBGN0085645-MONOMER
FBGN0038983	FBGN0038983-MONOMER
FBGN0036884	FBGN0036884-MONOMER
FBGN0040032	FBGN0040032-MONOMER
FBGN0037420	FBGN0037420-MONOMER
FBGN0052570	FBGN0052570-MONOMER
FBGN0019637	FBGN0019637-MONOMER
FBGN0030098	FBGN0030098-MONOMER
FBGN0034542	FBGN0034542-MONOMER
FBGN0026090	FBGN0026090-MONOMER
FBGN0032857	FBGN0032857-MONOMER
FBGN0038532	FBGN0038532-MONOMER
FBGN0053109	FBGN0053109-MONOMER
FBGN0259193	FBGN0259193-MONOMER
FBGN0035101	FBGN0035101-MONOMER
FBGN0035989	FBGN0035989-MONOMER
FBGN0035323	FBGN0035323-MONOMER
FBGN0036994	FBGN0036994-MONOMER
FBGN0036596	FBGN0036596-MONOMER
FBGN0034936	FBGN0034936-MONOMER
FBGN0053223	FBGN0053223-MONOMER
FBGN0085454	FBGN0085454-MONOMER
FBGN0040353	FBGN0040353-MONOMER
FBGN0050377	FBGN0050377-MONOMER
FBGN0053667	FBGN0053667-MONOMER
FBGN0058121	FBGN0058121-MONOMER
FBGN0033989	FBGN0033989-MONOMER
FBGN0085719	FBGN0085719-MONOMER
FBGN0036491	FBGN0036491-MONOMER
FBGN0031184	FBGN0031184-MONOMER
FBGN0025835	FBGN0025835-MONOMER
FBGN0033412	FBGN0033412-MONOMER
FBGN0051087	FBGN0051087-MONOMER
FBGN0031190	FBGN0031190-MONOMER
FBGN0050389	FBGN0050389-MONOMER
FBGN0035198	FBGN0035198-MONOMER
FBGN0028343	FBGN0028343-MONOMER
FBGN0035649	FBGN0035649-MONOMER
FBGN0058162	FBGN0058162-MONOMER
FBGN0039428	FBGN0039428-MONOMER
FBGN0039954	FBGN0039954-MONOMER
FBGN0085466	FBGN0085466-MONOMER
FBGN0035264	FBGN0035264-MONOMER
FBGN0003048	FBGN0003048-MONOMER
FBGN0031452	FBGN0031452-MONOMER
FBGN0028903	FBGN0028903-MONOMER
FBGN0034504	FBGN0034504-MONOMER
FBGN0030790	FBGN0030790-MONOMER
FBGN0034249	FBGN0034249-MONOMER
FBGN0042199	FBGN0042199-MONOMER
FBGN0037149	FBGN0037149-MONOMER
FBGN0029977	FBGN0029977-MONOMER
