1762,PWY-4021
1763,GLUCONSUPER-PWY|OXIDATIVEPENT-PWY
1765,PWY-5686
1766,PWY-5749
1779,FAO-PWY
1786,PWY0-381
1790,PWY0-163|PWY0-1295
1793,TRIGLSYN-PWY
1797,COLANSYN-PWY|GALACTMETAB-PWY
1801,PWY-6142|PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801|GLUCONEO-PWY
1804,PWY-6277|PWY-6121
1808,PWY-6074
1810,PWY0-1337
1817,PWY-6124
1821,PWY-5754
1825,1CMET2-PWY|PWY-2201
1829,PEPTIDOGLYCANSYN-PWY
1831,PWY66-162
1835,PWY-5690
1837,PWY-6074
1844,FAO-PWY|PWY-5136
1847,ILEUDEG-PWY|PWY-5109
1849,BSUBPOLYAMSYN-PWY
1850,FOLSYN-PWY|PWY-5664|PWY-5663
1852,PWY-5651
1857,PWY4FS-7|PWY4FS-8|PWY-5269
1863,UDPNACETYLGALSYN-PWY
1864,PWY-2201
1875,PWY-5941|GLYCOCAT-PWY|PWY-5767
1879,PWY-5653
1881,PWY-6074
1908,BSUBPOLYAMSYN-PWY|ARGSPECAT-PWY
1909,PWY-6142
1912,PWY-1801
1918,PWY-5691
1922,PWY-6124
1928,PWY-5067
1929,PWY-922
1935,GLUCONEO-PWY
1944,PWY0-1415|HEME-BIOSYNTHESIS-II
1947,PWY-6142|PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801|GLUCONEO-PWY
1950,PWY-841|PWY-5695
1951,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1955,GLUT-REDOX-PWY|PWY-4081
1958,PWY-6138
1967,PWY-6309
1977,PWY-5686
1982,NADPHOS-DEPHOS-PWY
1990,PWY-5754
1996,PWY-5177
2001,PWY0-1297|PWY0-1298
2002,1CMET2-PWY|PWY0-166
2003,SERSYN-PWY
2007,PWY0-381|AERESPDON-PWY
2009,1CMET2-PWY|PWY-2201
2011,SALVADEHYPOX-PWY
2018,PWY3O-210|PWY0-1305
2020,PEPTIDOGLYCANSYN-PWY
2021,PWY0-166
2025,PWY-5664
2027,PWY-5698
2028,PWY-6030
2034,PWY-6124
2035,PWY-5403|PWY66-301
2036,GLNSYN-PWY
2038,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
2049,P441-PWY
2050,PWY-5537
2051,PWY-3621|PWY-6100
2052,PWY-5751
2061,PEPTIDOGLYCANSYN-PWY
2063,PWY-5080
2070,PWY-6309
2085,PWY-5691
2088,ARGSYN-PWY|PWY-5686
2091,DETOX1-PWY
2102,PROLINE-SYN2-PWY
2104,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
2122,PWY-5874
2124,PWY-1269
2128,PWY-5537|PWY-5538|PWY-5690
2130,PHENYLALANINE-DEG1-PWY
2134,PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801|GLUCONEO-PWY
2135,ILEUDEG-PWY
2137,PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801|GLUCONEO-PWY
2140,PWY66-301
2144,PWY-3982
2146,PWY-5686
2147,PWY0-381
2148,CYSTEINE-DEG-PWY
2151,ASPARAGINESYN-PWY
2152,PWY-6134|PHENYLALANINE-DEG1-PWY
2154,ILEUDEG-PWY|PWY-5109
2155,PWY3DJ-11281
2164,PWY-5697
2168,PWY-5807
2172,PWY4FS-7|PWY4FS-8|PWY-5269
2184,PWY-5877
2199,SALVPURINE2-PWY
2201,PWY-6309
2208,PWY-561|MALATE-ASPARTATE-SHUTTLE-PWY|GLUCONEO-PWY|PWY-5690
2209,PWY-6118
2213,PWY0-1300
