439	1191
440	3581+1206
441	1554+1642+1676
442	1443+1059+1320+926
443	522+1693
445	853
446	1310+522+486
447	1285+1320+1059
448	894+1058
449	1385+522
450	1064
451	1814+303
452	294+3761
453	826+1676+1320
454	3076+974+522+1059
455	1717+1663
456	1276+3761+1059
457	926+1510
458	699+522+1310
459	357+839
460	522+1310
462	1493+1676
463	1666+522
464	140+522+1059
465	1445+1320+926+1059
466	1059+232
467	1549+3757+522
468	1161+1676
469	293+522
470	1471+1310
471	926+1422+1394
472	3935+972
473	1309+1116
474	470+1310
475	1310+1010
476	1160
477	3253+1179
478	3617+522
479	3619+522
480	1310+1969
481	3253+516
482	522+1243
483	522+1676
484	1419+3779+1059
485	1229+522
486	1488+1676
487	817+1507
488	175+522
489	1372
490	1264
491	1405+543
492	826+1676
493	3284+460+1113
494	522+1388
495	1387
496	926+263
497	1397
498	1309+1346
499	393+1710
500	3920+522
501	1420+3778
502	3263+62
503	995+1320
504	1643+471
505	1130
506	926+824+1059
507	813
509	1114+836+1676
510	395
511	766+302
512	350+522
513	1807
514	981+1059+522
515	1098
516	776+522
517	1676+1487
518	3581
519	3956
520	463+1310+1642
521	446+1131
522	766+522
523	473+522
524	116+522
525	1193
526	113+1676
527	625+1507+1059
528	3604+522
529	2232+2220+1688
530	926+992+1059
531	1235+1310
532	926+1098+1320
533	1676+157+1642
534	2328
536	917+522+1676
537	1507+884
538	900+1676
539	638+522+1059
540	734+3778
541	1446+1320+522
542	1059+1507
543	954+1676
544	999
545	1676+1249
546	3597+2327
547	567+648
548	1460+832
549	1680+914
550	1059+522+865
551	1530+1388
552	648+2790
553	829
554	2469+1688
555	926+79+1710
556	595+522
557	193
558	619+1507+1059
559	580+1059+3761
560	914+1189
561	522+4004
562	3920+4024
563	4121+1074
564	1507+836
565	127
566	661+522
567	804+522
568	522+976
569	1939+1117
570	3+522
571	3253+1323
572	3253+142
573	1648+1310+522
574	926+1299+1320
575	1258+1320+926+1059
576	1642+1530+1676
577	1043+342+1043
578	691+1552
579	1676+829+708
580	2451+522
581	926+836
582	3800+839+3802
583	3253+1939
584	1111+1310+522
585	896+1059+522
586	2454+1676
587	3757+1046+522
588	522+3778+876
589	507+3761+926+1059
590	1310+1230
591	1429
592	1326+522
593	2051+522
594	94+94+1058
595	643+1119+642
596	522+252
597	926+1161+1708
598	703+839
599	543+1388
600	1862+1309
601	1353+1309
602	531+1059+522
604	3253+3604
605	380
606	3253+1017
607	1741+1059
608	1512+1309
609	4770+522
610	1228+1310
611	1669+522
612	15+1309
613	1140+826+522
614	3253+935
615	1535
616	3831
617	149+522+1676
618	926+827
619	826+889
620	843+522
621	926+137+522
622	1422+522
623	1712+522
624	816+835+819+1676+522
625	275+835+1710
626	1059+827
627	456+1310+522
628	522+1671
629	534+1310
630	2865+1059+1507
631	1174+916
632	823
633	627+1059+1320
634	795+938
635	845+1059
636	1368
637	1059+1507+956
638	696+3778
639	926+49
640	1299+3779
641	997
642	1507+822
643	926+788+1059
644	522+1676
645	31+522
646	926+60+522
647	3851+1676+4376
648	1970+1136
649	1117+342
650	1136
651	1411+1676
652	875+522+3778
653	1507+303+3761
654	4053+3935
655	3604+522
656	522+382
657	189+1642
658	926+715+1724
659	297
660	383+3757
661	28+28+1642+1676+522
662	926+989
663	916+522
664	1437+303+1320
665	947+36
666	3253+935
667	1507+1388
668	522+1691
669	342+1168+522
670	1179+1709
671	522+1888
672	1059+1012
673	2233+3732
674	1983+4024
675	787+785
676	563
677	742+839
678	1148+1059
679	3616
680	926+1277+1320
681	2925+522
682	731+3778
683	926+745+1059
684	820+1507
685	993+1320
686	4124
687	522+1107
688	704+1059
689	266
690	1725
691	630+1059+1320
692	922
693	522+313
694	655+567
695	971+648
696	3977+1320
697	389+1059+3761+926
698	1041+1309
699	1106+522
700	926+513+1320+1059
701	827+1676
702	926+1302+1320
703	702+522+1059
704	892+1676
705	1676+522+921
706	978+1310+522
707	1723+522
708	1309+1251
709	1059+522+3072
710	479+1388+522
711	220+1059+522
712	36+1074
713	1062
714	372+522
715	1642+1548+1676
716	1085+1469+1085
717	546
718	1256+1676+1642
719	926+577
720	362+61
721	390+522+3757
722	1221+1676
723	1728
724	2511
725	653+693
726	2230
727	399+1117
729	1186+1709
730	2349+839
731	92+1676
732	1388
733	1310+1467
734	2330+522
735	599+1309
736	671+1676
737	627+1059+1507
738	482+478
739	522
740	2240+926+391
741	478
742	677+517
744	1040+525
745	660+567
746	948+1112
747	1252
748	926+355
749	2304+522
750	1089
751	1282+1320+926
752	1168+1189
753	1309+1228
754	916+497
755	926+885
757	830
758	1506+819
759	3253+1025
760	1425+1051+1360
761	897+522
762	977+522+1059
763	3829+1059+3761+926
764	897+522
765	1309+3954
766	522+1310+1645
767	1678+522
768	1215
769	1718+1676
770	206+1310+522
771	1153+1156
772	3074+522+1059
773	819+1507
774	3253+2233
775	700+1321
776	363+3757
777	442
779	616+1059+1507
780	1092+1320
781	1292+3757
782	1683
783	926+1651+1320
784	522+349
785	1502+522
786	831+1059+522
787	1225+1676
788	3798+3778+1112
789	689+522+1059
790	227+1663+1642
791	3252+643
792	3920+3778
793	1664+522
794	1357+839
795	1660+1309+522
796	2327
797	1188+522+342
798	3253+586
799	926+746+1059
800	926+538
801	1507+349
802	450+839
803	1237+522
804	363
805	926+589+1320+1059
806	1717+1676
807	1386+522
808	153+1710
809	842+522
810	1333+1676
811	1538+1405
812	828
813	1676+1679
814	1433+1320
815	1309+160
816	583+1112
817	1041+1310
818	585
819	1434
820	932+522
821	1367+1306
822	1159+522
823	847+1676
824	1645+1309
825	639
826	1353+479+522
827	274+346
828	522+421
829	47+3778
830	103+1388
831	522+526
832	741+839
833	1448+522
834	3064+1710
835	2542+522
836	1373
837	1054+522
838	522+1676
839	3343
840	914+1388
841	1310+1474
842	1741+3778
843	1549+1310+522
844	522+1310+141
845	1178+1309
846	1161+1663
847	1150+522
848	546+926
849	1059+710
850	1231+1310
851	117+1112
852	95
853	1059+281
854	926+1173+371
855	926+568
856	542+3778
857	926+89
858	1309+1969
859	800+839
860	276+1676
861	1263+1309
862	1181
863	1676+251
864	1714+522
865	3253+1018
866	233+2919
867	1815+838
868	636+567
869	228+1310
870	1494+1676
871	739+839
873	1659
874	1713+914
875	1381
876	522+560
877	1263+1320+926+1059
878	967+302+595
879	156+342+522
880	97+522+1052
881	2462+522
882	822+1506
883	1101+522
884	431+302
885	3831+826+1676
886	523+826
887	1310+1234
888	1211+1676
889	131
890	803+522
891	914+1721
892	879
893	1554
894	370+1309
895	926+829
897	522+1720
898	3448+1320
899	1728+522
900	522+383+1405
901	3168+1058
902	826+1388
903	656+567
904	1148+303+522
905	1404
