counpoundId,reactID,Stoichometry,ismain
1642,265,,true
1242,266,,true
522,266,,true
1206,266,2,true
1398,267,2,true
1401,267,,true
522,267,,true
4264,268,,true
824,268,,true
1059,268,,true
709,268,,true
1732,268,,true
3694,269,,true
1237,269,,true
1239,269,,true
1207,269,,true
1730,270,,true
915,270,,true
1726,270,,true
1310,271,,true
1543,271,,true
1321,271,,true
1506,271,,true
1388,272,,true
522,272,,true
1508,272,,true
926,272,,true
1554,272,,true
1642,272,,true
853,273,,true
856,273,,true
1486,274,,true
1676,274,,true
926,274,2,true
1487,274,2,true
1665,274,2,true
1192,275,2,true
926,275,,true
158,275,,true
215,275,,true
926,276,,true
556,276,,true
1321,276,,true
1059,276,,true
452,276,,true
1310,276,,true
522,276,,true
1714,277,,true
1676,277,,true
1664,277,,true
1665,277,,true
1207,278,,true
1676,278,,true
1178,278,,true
1665,278,,true
433,279,,true
522,279,,true
1648,279,,true
1508,281,,true
833,281,,true
838,281,,true
1506,281,,true
2454,282,,true
522,282,,true
2469,282,,true
1494,282,,true
64,283,,true
3757,283,,true
522,283,,true
860,283,,true
3761,283,,true
289,284,,true
522,284,,true
1059,284,,true
298,284,,true
36,284,,true
919,284,,true
356,285,,true
833,285,,true
860,285,,true
1506,285,,true
1642,286,,true
693,286,,true
1676,286,,true
926,286,,true
1396,286,,true
916,286,,true
1678,286,,true
1742,287,,true
303,287,4,true
234,287,4,true
4840,288,4,true
2060,288,,true
299,288,,true
2330,289,,true
522,289,,true
2297,289,,true
1524,289,,true
1520,290,,true
1642,290,,true
1676,290,,true
916,290,,true
1419,290,,true
1678,290,,true
926,291,,true
1283,291,,true
1320,291,,true
1286,291,,true
1309,291,,true
1380,292,,true
1642,292,,true
926,292,4,true
1390,292,4,true
1421,292,4,true
1239,293,4,true
914,293,4,true
1237,293,,true
1161,293,,true
1059,294,,true
58,294,,true
36,294,,true
83,294,,true
1310,295,,true
1233,295,,true
926,295,,true
1321,295,,true
1224,295,,true
1369,296,,true
926,296,2,true
1408,296,,true
92,296,,true
277,297,,true
285,297,,true
12,298,,true
522,298,,true
363,298,,true
1719,299,,true
1676,299,,true
1697,299,,true
1665,299,,true
3263,300,,true
1309,300,,true
1320,300,,true
1140,300,,true
1690,301,,true
522,301,,true
1681,301,,true
926,301,2,true
926,302,2,true
230,302,2,true
1320,302,2,true
749,302,,true
1309,302,,true
926,303,,true
21,303,,true
522,303,,true
92,303,,true
243,303,,true
303,303,,true
537,304,,true
839,304,,true
1828,304,,true
843,304,,true
1415,305,,true
1506,305,,true
1388,305,,true
1175,306,,true
522,306,,true
1174,306,,true
914,306,,true
616,307,,true
1507,307,,true
1059,307,,true
623,307,,true
1551,307,,true
